,google_analogy - add,google_analogy - mul,msr_analogy - add,msr_analogy - mul,semeval_2012_2
data_examples/wv2_model_11.vec,0.1150225133033156,0.10243553008595989,0.206,0.192375,0.1498093189269761
data_examples/fasttxt_model_31.vec,0.15324396234138354,0.14802496930004094,0.312375,0.309875,0.11797330772404183
data_examples/glove_5_50_5.txt,0.35120753172329106,0.2545026606631191,0.285125,0.213625,0.13068147037024355
