,AP,BLESS,BATTIG,ESSLI_2c,ESSLI_2b,ESSLI_1a
data_examples/wv2_model_11.vec,0.3756218905472637,0.485,0.2498566239724718,0.5555555555555556,0.75,0.6590909090909091
data_examples/fasttxt_model_31.vec,0.31840796019900497,0.44,0.194035557254827,0.5555555555555556,0.65,0.6590909090909091
data_examples/glove_5_50_5.txt,0.5870646766169154,0.745,0.4112024469508698,0.5777777777777778,0.75,0.75
